               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071635,            0.010412,            0.020726,             0.49782,             0.46504,             0.41785,             0.19714,            0.077439,            0.012861,            0.022043,            0.070118,           0.0033203,           0.0033203
                   1,            0.080062,            0.010824,            0.024046,             0.28636,             0.37561,             0.28614,             0.11892,            0.091453,            0.013654,            0.030629,            0.039898,            0.006434,            0.006434
                   2,            0.082375,             0.01141,             0.02585,             0.33206,             0.36289,             0.28137,             0.13421,            0.085304,            0.015229,            0.025559,           0.0094585,           0.0093278,           0.0093278
                   3,            0.082107,            0.011358,            0.025491,             0.33386,             0.40381,             0.32235,             0.14446,            0.084656,            0.014113,            0.027609,             0.00901,             0.00901,             0.00901
                   4,            0.081558,            0.011217,            0.025159,             0.32065,             0.38268,             0.30573,             0.13788,            0.082527,            0.016162,            0.025077,             0.00901,             0.00901,             0.00901
                   5,            0.080851,             0.01114,            0.024842,             0.43559,             0.36037,              0.3604,             0.15351,            0.082542,            0.013675,            0.024602,             0.00868,             0.00868,             0.00868
                   6,            0.080004,            0.011062,            0.024227,             0.43637,             0.44343,             0.39496,             0.17425,            0.079735,             0.01342,            0.025385,             0.00835,             0.00835,             0.00835
                   7,            0.077998,            0.010883,            0.023908,             0.41567,             0.41535,             0.35345,             0.14206,            0.084278,            0.013299,            0.024308,             0.00802,             0.00802,             0.00802
                   8,            0.078019,            0.010853,            0.023799,             0.42816,             0.39784,             0.37402,             0.16124,            0.078166,            0.015135,            0.024738,             0.00769,             0.00769,             0.00769
                   9,             0.07771,            0.010736,            0.023555,              0.4406,             0.43337,             0.37679,             0.17712,            0.077715,            0.013435,            0.023877,             0.00736,             0.00736,             0.00736
                  10,            0.076405,            0.010964,            0.023009,             0.45564,             0.41469,             0.37922,              0.1698,            0.076442,            0.012934,            0.023435,             0.00703,             0.00703,             0.00703
                  11,            0.076605,            0.010814,            0.022891,             0.41622,             0.49545,             0.39795,             0.19041,            0.075595,             0.01354,             0.02418,              0.0067,              0.0067,              0.0067
                  12,            0.075714,            0.010669,            0.022982,             0.40141,             0.45422,             0.40679,             0.18133,            0.075346,            0.013942,            0.023028,             0.00637,             0.00637,             0.00637
                  13,            0.074277,            0.010718,            0.022039,             0.44921,             0.48728,             0.42317,             0.19863,            0.074879,             0.01283,            0.023582,             0.00604,             0.00604,             0.00604
                  14,            0.073697,            0.010726,            0.022206,             0.50802,             0.46747,             0.43675,             0.21694,             0.07313,            0.013579,            0.022264,             0.00571,             0.00571,             0.00571
                  15,            0.073116,            0.010661,            0.021949,             0.51898,             0.44563,             0.45954,             0.22149,            0.074254,            0.013463,            0.022843,             0.00538,             0.00538,             0.00538
                  16,            0.073702,            0.010692,            0.022322,             0.49897,             0.47173,             0.43373,             0.21818,            0.073953,            0.013059,            0.022524,             0.00505,             0.00505,             0.00505
                  17,             0.07291,            0.010672,             0.02173,             0.53838,             0.47111,             0.45555,             0.21078,            0.073184,            0.013631,            0.021769,             0.00472,             0.00472,             0.00472
                  18,            0.072935,            0.010581,            0.021897,             0.62549,             0.45733,             0.46588,             0.22033,            0.073542,            0.012907,             0.02162,             0.00439,             0.00439,             0.00439
                  19,            0.071681,            0.010488,            0.021568,             0.60503,             0.45643,             0.44854,             0.22295,            0.072547,            0.012475,            0.022686,             0.00406,             0.00406,             0.00406
                  20,            0.071518,            0.010595,             0.02149,             0.52091,             0.52842,             0.47932,             0.22526,            0.073823,            0.012894,            0.021261,             0.00373,             0.00373,             0.00373
                  21,            0.070864,            0.010366,            0.020901,             0.59304,             0.50375,             0.49465,             0.23462,            0.071596,            0.012526,            0.020858,              0.0034,              0.0034,              0.0034
                  22,             0.07009,            0.010462,            0.020809,             0.60411,             0.52143,             0.50309,             0.25719,            0.070563,            0.012862,            0.020352,             0.00307,             0.00307,             0.00307
                  23,            0.070313,            0.010332,            0.020668,             0.61962,             0.47369,             0.48783,             0.24579,            0.071223,            0.012211,            0.020943,             0.00274,             0.00274,             0.00274
                  24,             0.06842,            0.010087,            0.020375,             0.63732,             0.50846,             0.49933,              0.2518,            0.070293,            0.012377,            0.020114,             0.00241,             0.00241,             0.00241
                  25,            0.068089,            0.010077,             0.01985,              0.5736,             0.52942,             0.48683,             0.24362,            0.070816,            0.012329,            0.020376,             0.00208,             0.00208,             0.00208
                  26,            0.067562,            0.010026,            0.019719,             0.59999,              0.5085,             0.48944,             0.24726,            0.069247,            0.012303,            0.019825,             0.00175,             0.00175,             0.00175
                  27,            0.067134,            0.009955,            0.019536,              0.6262,             0.53311,             0.52476,             0.26705,            0.068796,            0.012348,            0.019835,             0.00142,             0.00142,             0.00142
                  28,            0.066605,           0.0099017,             0.01964,             0.63607,             0.53357,             0.51722,             0.26226,            0.069416,             0.01236,            0.019848,             0.00109,             0.00109,             0.00109
                  29,            0.065442,           0.0096166,            0.019097,             0.61536,             0.51122,             0.52457,             0.27082,            0.068032,            0.012392,            0.019729,             0.00076,             0.00076,             0.00076
